,review,label
157,"sade hardly perverse , dangerous libertine agitator would made better drama",0
158,"end movie , ' definitely convinced women spectacular",1
159,"plotline ' lumpy two day old porridge filmmakers ' paws , sad say , ` ` un bear able ' ' project !",0
160,modern day royals nothing guys comes scandals,0
161,essentially ` ` fatal attraction ' ' remade viewers diapers original released <number>,0
162,"n't really know care characters , uses markers series preordained events",0
163,` opening ' play partly closed,0
164,"even though ' common knowledge park founding partner , yong kang , lost kozmo end , ca n't help get caught thrill company ' astonishing growth",1
165,"lots effort intelligence display execution awkward , static , lifeless rumblings",0
166,"every moment crackles tension , end flick , ' edge seat",1
167,imax screen enhances personal touch manual animation,1
168,coal n't easy come used would worthy substitute naughty children ' stockings,0
169,pedestrian come,0
170,", may ask , buy movie milk tv cow free ?",0
171,"sunk way much indulgence scene chewing , teeth gnashing actorliness",0
172,' fun kids age,1
173,raimi team could n't done better bringing story spider man big screen,1
174,"colorful , joyous celebration life tapestry woven romance , dancing , singing , unforgettable characters",1
175,rip roaring comedy action fest ' put hairs chest,1
176,premise jason x silly strangely believable,1
177,modern day characters nowhere near vivid <number> th century ones,0
178,chelsea walls case many chefs fussing weak recipe,0
179,"cast keeps pretty watchable , casting mick jagger director escort service inspired",1
180,"lrb kid ' rrb bratty sympathy , film grows finale , little changes ring hollow",0
181,contradicts everything ' come expect movies nowadays,1
182,"little question serious work important director something new say , flip flop courtship , often reel playing",1
183,script less spice rat burger rock ' fighting skills line steven seagal,0
184,solid filmmaking convincing characters makes high water mark genre,1
185,"kind movie comes along occasionally , one unconventional , gutsy perfectly executed takes breath away",1
186,"admirably dark first script brent hanley , paxton , making directorial feature debut , strong , measured work",1
187,"funny , somber , absurd , , finally , achingly sad , bartleby fine , understated piece filmmaking",1
188,"every , movie comes along remind us bad motion picture truly",0
189,"unfortunately , almost nothing flat effort amuse entertain , either",0
190,schrader examines crane ' decline unblinking candor,1
191,e graveyard holds many good ideas bad cold comfort chin ' film serves style empathy,1
192,"would n't want live waydowntown , hilarious place visit",1
193,"bai brothers taken small slice history opened us understand , ' told nice little story process",1
194,' one decent performance cast one clever line dialogue,0
195,translation ` n't need try hard ',0
196,"return never land reliable , standard disney animated fare , enough creative energy wit entertain ages",1
197,"sticks rigidly paradigm , rarely permitting characters two obvious dimensions repeatedly placing contrived , well worn situations",0
198,caine makes us watch character awakens notion human eventually choose,1
199,captivating intimate study dying loving,1
200,"oversexed , times overwrought comedy drama offers little insight experience forty , female single",0
201,world needs filmmakers passionate enthusiasms like martin scorsese,1
202,director seems take unseemly pleasure lrb characters ' rrb misery time congratulate guts confront,0
203,history fascinating action dazzling,1
204,"unexpected thing dying , shower black white psychedelia , quite beautiful",1
205,also believe resident evil,0
206,offers clear eyed chronicle female friendship complex honest anything represented hollywood film,1
207,"meeting , even exceeding expectations , ' best sequel since empire strikes back majestic achievement , epic astonishing grandeur surprising emotional depth",1
208,"general audiences might come away greater knowledge facts cuban music , ' treated impressive highly entertaining celebration sounds",1
209,"better predecessor , may rate magical fun family fare recent holiday season",1
210,may work addictive guilty pleasure material never overcomes questionable satirical ambivalence,0
211,"death smoochy tells moldy oldie , nearly nasty thinks joke",0
212,"spielberg ' picture smarter subtler lrb total recall blade runner rrb , although plot may prove convoluted fun seeking summer audiences",1
213,"hart ' war seems want character study , apparently ca n't quite decide character",0
214,smaller numbered kidlets enjoy,1
215,"offers new insight matter , characters exactly spring life",0
216,"' convinced could keep family five blind , crippled , amish people alive situation better british soldiers keeping kicking",0
217,"connected stories breitbart hanussen actually fascinating , filmmaking invincible movie justice",0
218,characters deeply thought ` right thinking ' films,1
219,"characters well established gang feels comfortable taking insane liberties goofiest stuff left field , '",1
220,"completely predictable plot , ' swear ' seen , even ' never come within mile longest yard",0
221,"jokes sophomoric , stereotypes sprinkled everywhere acting ranges bad bodacious",0
222,cho ' latest comic set n't sharp fresh ' one want ' still damn funny stuff,1
223,"much written years psychedelic ' <number> grooved gay ' <number> , words n't really era justice",1
224,one best looking stylish animated movies quite,1
225,"light candles , bring cake n't fret calories ' precious little substance birthday girl ' simply , surprisingly , nice , light treat",1
226,"' good , hard edged stuff , violent bit exploitative also nicely done , morally alert street smart",1
227,sayles strands superb performers old story,0
228,"high crimes carries almost organic intrigue government marine legal mystery , ' movie serves stuff , nearly subliminally , old hat province male intrigue",0
229,nicole kidman makes party worth attending,1
230,"bogdanovich puts history perspective , via kirsten dunst ' remarkable performance , showcases davies young woman great charm , generosity diplomacy",1
231,gentle comic treatment adolescent sturm und drang please fans chris fuhrman ' posthumously published cult novel,1
232,"shatner probably funniest person film , gives idea bad",0
233,"fragmented film , good idea followed bad idea turn movie",0
234,"' outrageously creative action transporter lrb b rrb ut time frank parachutes onto moving truck , ' another cartoon unstoppable superman",0
235,"indulgent , slightly sunbaked summery mind , sex lucia may well prove diverting enough",1
236,"might ` easier ' watch video home , n't stop die hard french film connoisseurs going enjoying big screen experience",1
237,lrb reno rrb delivers monologue manages incorporate horror absurdity situation well balanced fashion,1
238,"rich atmosphere post war art world , manages instruct without reeking research library dust",1
239,good great freeman judd make work,1
240,"' nice see piscopo years , chaykin headly priceless",1
241,"never , nothing special , pleasant , diverting modest definitely step right direction",1
242,"last man last movie left earth , would toss presiding end cinema know another night delightful hand shadows",0
243,"lioness , protecting cub , reluctant villain , incapable controlling crew",1
244,interesting movie ! ' ',1
245,"' simply stupid , irrelevant deeply , truly , bottomlessly cynical",0
246,"movie almost completely lacking suspense , surprise consistent emotional conviction",0
247,"characters generic plot bland even rogue cia assassins working chris cooper ' agency boss close resourceful amnesiac , n't feel much damon bourne predicament",0
248,like <number> day old coke,0
249,masterfully calibrated psychological thriller thrives taut performances creepy atmosphere even screenplay falls somewhat short,1
250,"yes , suppose ' lovely cal works issues dad comes terms picture perfect life world traveler gave reason care , n't",0
251,film opens maggots crawling dead dog place metaphor,0
252,"plot seems bit skinny side , ' panic room interested nothing sucking making sweat",1
253,drumline ably captures complicated relationships marching band,1
254,"entire cast first rate , especially sorvino",1
255,' drag nettelbeck sees working women least working woman shows little understanding,0
256,nothing movie works,0
257,solidly entertaining little film,1
258,"lrb ` ` safe conduct ' ' rrb long movie <number> minutes fills time drama , romance , tragedy , bravery , political intrigue , partisans sabotage",1
259,"although mainstream american movies tend exploit familiar , every film arrives margin gives viewers chance learn , grow , travel",1
260,"hit miss affair , consistently amusing outrageous funny cho may intended imaginative one might hoped",0
261,"exercise chilling style , twohy films sub , inside , eye preserving sense mystery",1
262,"hey everybody , wanna watch movie guy dressed children ' party clown gets violently gang raped ?",0
263,"makes compelling , provocative prescient viewing",1
264,flawed engrossing thriller,1
265,never comes together coherent whole,0
266,decided lack spontaneity execution dearth real poignancy epiphanies,0
267,sets ms birot ' film apart others genre greater attention parents particularly fateful fathers emotional evolution two bewitched adolescents,1
268,"like jaglom ' films , honestly affecting , seems contrived secondhand",0
269,"' wise powerful tale race culture forcefully told , superb performances throughout",1
270,one terrific documentaries collect bunch people enthusiastic something figures make us share enthusiasm,1
271,"film ' sopranos gags incredibly dated unfunny , also demonstrate desperate makers ` ' cash ' sequel",0
272,admit baffled jason x,0
273,"film gets close chimps way goodall , serious minded patience , respect affection",1
274,"rip twice removed , modeled lrb seagal ' rrb earlier copycat siege , sometimes referred die hard boat",0
275,"ms seigner mr serrault bring fresh , unforced naturalism characters",1
276,"' muy loco , ridiculous rest ` ` dragonfly ' '",0
277,movie n't really deliver country music fans family audiences,0
278,"answered yes , means enjoy new guy",1
279,generates enormous feeling empathy characters,1
280,"low key direction pleasingly emphatic properly intense , claustrophobic tale obsessive love",1
281,"prone indignation need apply susceptible blue hilarity , step right",1
282,intriguing look french film industry german occupation delightful moments come various characters express quirky inner selves,1
283,would make excellent companion piece similarly themed ` french lieutenant ' woman ',1
284,"like quirky , odd movies ironic , ' fun one",1
285,"french people harmed making movie , insulted audience put torture hour half",0
286,woody allen write deliver one liner well anybody,1
287,consistently funny austin powers films,1
288,"' degrading strangely liberating see people working hard leading lives sexy intrigue , revealed dispassionate gantz brothers ordinary , pasty lumpen",1
289,paid full remarkably engaging despite noticeably derivative goodfellas least half dozen trouble ghetto flicks,1
290,"plot number holes , times ' simply baffling",0
291,"redeeming feature chan ' films always action , stunts tuxedo seem tired , ' worse , routine",0
292,amazingly lame,0
293,even felinni would know make italian freakshow,0
294,"garc bernal talanc n immensely appealing couple , even though story predictable , ' want things work",1
295,certainly hard hate,1
296,"finely crafted , finely written , exquisitely performed",1
297,parker sustain buoyant energy level film ' city beginnings country conclusion ',0
298,"story rather simplistic one grief drives , love drives , second chance find love unlikely place struck chord",1
299,cockeyed shot way,0
300,clare peploe ' airless movie adaptation could use little american pie like irreverence,0
301,"woefully dull , redundant concept bears whiff exploitation , despite iwai ' vaunted empathy",0
302,cutesy romantic tale twist,1
303,one three gags white ' intermittently wise script hits mark rest padding unashamedly appropriated teen exploitation playbook,0
304,"plods along methodically , somehow assumption ` ` dead wife communicating beyond grave ' ' framework even remotely new interesting",0
305,give credit everyone robinson key grip bold move works,1
306,"enough said , except film overboard !",0
307,suffocating rape payback horror show hinges subgenre ' enabling victim ebullient affection industrial model meat freezers,1
308,"longer possess lack attention span seventeen , trouble sitting blade ii",1
309,collage clich dim echo allusions films,0
310,combine paranoid claustrophobia submarine movie unsettling spookiness supernatural n't hollywood think sooner ?,1
311,"damon affleck attempt another project greenlight , next time might try paying less attention miniseries attention film",0
312,"screenplay james eric , james horton director peter o'fallon pat makes teeth hurt",0
313,' giving thumbs due endlessly repetitive scenes embarrassment,0
314,"leblanc make one spectacularly ugly looking broad , appears miserable throughout swaggers scenes",0
315,"elegant work , food love consistently engaging revealing",1
316,"pain , loneliness insecurity screenwriting process vividly painfully brought slovenly life self deprecating , biting witty feature written charlie kaufman twin brother , donald , directed spike jonze",1
317,weak ineffective ghost story without conclusion pay,0
318,' fan series ' love probably want see twice,1
319,film never finds tone several scenes run long,0
320,suffers lack clarity audacity subject monstrous pathetic dahmer demands,0
321,' motion picture ' utterly static picture,0
322,' probably easy make worthless film,0
323,film bright flashy right ways,1
324,"brisk , reverent , subtly different sequel",1
325,macabre stylized swedish fillm modern city religious civic virtues hold society place tatters,1
326,impressive job relating complicated history war filling background,1
327,fascinating documentary provides rounded revealing overview ancient holistic healing system,1
328,cautionary tale folly superficiality endlessly superficial,0
329,"quitting , however , manages depressing , lead actor phones autobiographical performance",0
330,"go back check last <number> minutes , repulsive first <number> <number> minutes",0
331,"end , movie bogs insignificance , saying nothing kennedy ' assassination revealing nothing pathology pretends investigate",0
332,' refreshing see movie embraces old fashioned themes process comes looking like something wholly original,1
333,must end world best film far year franchise sequel starring wesley snipes,1
334,boomers kids barrie good time,1
335,wow,1
336,"disney ' cinderella proved ' dream wish heart makes , ' cinderella ii proves nightmare wish studio ' wallet makes",0
337,", done thousand times already , better",0
338,infuriating film,0
339,film great premise great premise,1
340,"seagal ran movies years ago , proof",0
341,backhanded ode female camaraderie penned man little clue either nature women friendship,0
342,fetid underbelly fame never looked uglier,0
343,"halfway picture beginning hate , , course , feeling guilty , miracle miracles , movie flip flop",1
344,"soulless even damning virtually joyless , x <elong> achieves near virtuosity crapulence",0
345,"movie lacks action makes drama , suspense , revenge , romance",1
346,"sweet home alabama n't going win academy awards , date night diversion definitely win hearts",1
347,' satisfying summer blockbuster worth look,1
348,party hearty teen flick scalds like acid,0
349,movie funny peek fingers front eyes,1
350,"story better focused incomprehensible anne rice novel ' based upon , queen damned pointless , meandering celebration goth vampire , tortured woe lifestyle",0
351,"originality ai n't menu , ' never dull moment giant spider invasion comic chiller",1
352,"like mike slight uninventive movie like exalted michael jordan referred title , many aspire none equal",0
353,"cast , collectively successful example lovable loser protagonist , shows deft comic timing",1
354,"grittily beautiful film looks , sounds , feels like extended , open ended poem traditionally structured story",1
355,strangely comes kingdom mild wild,1
356,"hours ' seen , forget ' movies",0
357,yet ' quite genre busting film ' hyped plays everything safe,0
358,"biggest problem roger avary ' uproar mpaa , even director ' cut glory , ' made film ' barely shocking , barely interesting , barely anything",0
359,"peralta captures , luminous interviews amazingly evocative film three decades ago , essence dogtown experience",1
360,manages accomplish sequels equals original ways even betters,1
361,end result like cold porridge odd enjoyably chewy lump,0
362,shows studios firmly believe people lost ability think forgive shoddy product long ' little girl girl action,0
363,"despite quieter middle section , involving aragorn ' dreams arwen , even better fellowship",1
364,horrible movie could sprung great one one year ' worst cinematic tragedies,0
365,fleet footed pleasingly upbeat family diversion,1
366,australian filmmaker david flatman uses huge screen format make old fashioned nature film educates viewers words pictures entertaining,1
367,` ` mr deeds ' ' suitable summer entertainment offers escapism without requiring great deal thought,1
368,lame sweet home leaves southern stereotype unturned,0
369,rice pedestrian filmmaker bring edge personality rising place would set apart deep south stories,0
370,' always disappointing documentary fails live offer new insight chosen topic,0
371,"yet another iteration ' become one movies ' creepiest conventions , developmentally disabled portrayed almost supernatural powers humble , teach ultimately redeem mentally ` ` superior ' ' friends , family",0
372,may galled ' wasted nearly two hours precious life silly little puddle movie,0
373,mr scorsese ' bravery integrity advancing vision hardly underestimated,1
374,intellectually scary dramatically involving,0
375,"movie like year late tapping reality tv obsession , even tardier exploiting novelty ` ` webcast ' '",0
376,fun nimble,1
377,"casting call movie went , must read ` seeking anyone acting ambition sense pride shame '",0
378,movie desperate miscalculation,0
379,"' matter plumbing arrangements mind games , erotic sensuous charge",0
380,plays like glossy melodrama occasionally verges camp,0
381,ultimately makes windtalkers disappointment superficial way deals story,0
382,polanski found perfect material address world war ii experience signature style,1
383,"main story compelling enough , ' difficult shrug annoyance chatty fish",0
384,"film boasts least good ideas features decent performances , result disappointing",1
385,"' surprise director washington demands receives excellent performances , newcomer derek luke",1
386,"mostly martha mostly unsurprising , ' still sweet , even delectable diversion",1
387,top notch action powers romantic drama,1
388,roman polanski ' autobiographical gesture redemption better ` shindler ' list ' merely holocaust movie,1
389,"admitted egomaniac , evans hollywood villain , yet grating showcase almost makes wish ' gone way simpson",0
390,"confessions may straightforward bio , offer much way barris ' motivations , film oddly fascinating depiction architect pop culture",1
391,inherent limitations using video game source material movie made clear schlocky horror action hybrid,0
392,takes simple premise carries unexpected heights,1
393,"` moore like progressive bull china shop , provocateur crashing ideas special interest groups slaps together brand liberalism '",0
394,"film reminds vastly improved germanic version big fat greek wedding better characters , genuine quirkiness least measure style",1
395,"star helped give spark ` ` chasing amy ' ' ` ` changing lanes ' ' falls flat thinking man cia agent jack ryan summer ' new action film , ` ` sum fears ' '",0
396,"good film solid pedigree front , specifically , behind camera",1
397,marvelous performance allison lohman identity seeking foster child,1
398,slow moving police procedural thriller takes title literally,0
399,"since dahmer resorts standard slasher flick thrills mind killer , misses major opportunity truly revelatory psyche",0
400,"leigh n't breaking new ground , knows daily grind kill love",1
401,master disguise represents adam sandler ' latest attempt dumb universe,0
402,ca n't say enough movie adult male dressed pink jammies,0
403,"lrb rrb boldly stroked , luridly coloured , uni dimensional nonsense machine strokes eyeballs evaporates like much crypt mist brain",0
404,"one experiences mr haneke ' sadistic tendencies toward audience , one left sour taste one ' mouth , little else",0
405,"many bad romances , kind movie deserves chance shine",1
406,schmidt undoubtedly one finest films year,1
407,"n't reach , effort gratefully received",1
408,also wanted little alien friend !,1
409,work filmmaker secrets buried heart story knows take time revealing,1
410,"sort thing work , need agile performers , proficient , dull sorvino light touch , rodan league",0
411,"juliette binoche ' sand vivacious , ' hard sense powerhouse <number> th century prose behind childlike smile",1
412,storylines feel like time fillers surf shots,0
413,powerful performance mel gibson brutal <number> minute battle sequence everything issue dog tag <number>,1
414,woody allen really found groove days,1
415,screenwriters dig deeper every time toss logic science essentially ` ` dungeons dragons ' ' fantasy modern military weaponry,0
416,delirious fun,1
417,might acceptable printed page iles ' book translate well screen,0
418,"ice cube n't quite ripe screwball ideas , friday next spreads pretty thin",0
419,director david fincher writer david koepp ca n't sustain,0
420,"mckay shows crushingly little curiosity , ill equipped examine , interior lives characters film , much less incorporate narrative",0
421,"lifts film high run filth gangster flicks refusal recognise signposts , discovering way bitter end without map",1
422,gets details time frame right completely misses emotions,0
423,"entirely appropriately , tale unfolds like lazy summer afternoon concludes crisp clarity fall dawn",1
424,"character faced possibility life meaningless , vapid devoid substance , movie definitely meaningless , vapid devoid substance",0
425,"cast list brit actors , worth searching",1
426,"' refreshing someone understands need bad boy diesel , brawny frame cool , composed delivery , fits bill perfectly",1
427,"insights dream world teen life , electronic expression cyber culture , film gives quarter anyone seeking pull cohesive story <number> <number> <number> hour running time",0
428,"flashbulb editing cover absence narrative continuity , undisputed nearly incoherent , excuse get closing bout time ' impossible care wins",0
429,clooney directs film always keeping balance fantastic believable,1
430,happy times maintains appealing veneer without becoming cute,1
431,tv skit com material fervently deposited big screen,0
432,compelling film,1
433,film ' unhurried pace actually one strengths,1
434,certainly wo n't win awards plot department sets pretensions delivers big time,1
435,things made original men black pleasure still,1
436,"cold , sterile lacking color warmth",0
437,"` girls gone wild ' video boho art house crowd , burning sensation n't definitive counter cultural document makers n't removed inquisitive enough",0
438,movie feels stitched together stock situations characters movies,0
439,"obvious rapport actors striking style behind camera , h l ne angel definitely director watch",1
440,"deft , delightful mix sulky teen drama overcoming obstacles sports movie triumph",1
441,men black ii achieves ultimate insignificance ' sci fi comedy spectacle whiffle ball epic,0
442,' nothing gain watching,0
443,debut effort ` ` project greenlight ' ' winner sappy amateurish,0
444,"<number> th outing shows lot stamina vitality , get , madonna ' cameo n't suck !",1
445,absurdist spider web,0
446,journey difficult audience take protagonist yet ' potentially rewarding,1
447,rather less sum underventilated p fils confrontations,0
448,entertaining documentary freshly considers arguments bard ' immortal plays written somebody else,1
449,stay away,0
450,contrasting original ringu current americanized adaptation akin comparing evil dead evil dead ii,0
451,"skip dreck , rent animal house go back source",0
452,beautifully filmed well acted admittedly problematic narrative specifics,1
453,"' burnt ' wonderful life marathons bored christmas carol , might movie ' looking",1
454,"film ' highlight definitely screenplay , rhapsodic dialogue jumps page , memorable character creations",1
455,"movie , like bartleby , something stiff extra dry office comedy seems twice long <number> minutes",0
456,' sort <number> st century morality play latino hip hop beat,1
457,"n't allowed use word ` ` new ' ' title , ' original character , siuation joke entire movie",0
458,decent dull,0
459,get pooper scoopers,0
460,humor spy anemic,0
461,"least ' fairly impressive debut director , charles stone <elong>",1
462,"try might resist , ' got place heart smokey robinson , movie worm way",1
463,"film problem , shortness disappoints want story go",1
464,' fresh idea core tale,0
465,"film different apple striking encourage us see samira makhmalbaf distinctive sensibility , working develop film language conspicuous success",1
466,movie notable observation long ' sitting still,0
467,technically artistically inept,0
468,overly melodramatic,0
469,"trouble every day success sense , ' hard like film cold dead",0
470,stumbles every cheap trick book trying make outrage come even easier,0
471,"annals movies , films odd , inexplicable unpleasant",0
472,allen ' funniest likeable movie years,1
473,highly uneven inconsistent margarita happy hour kinda resembles el cheapo margaritas served within,0
474,"effort sincere results honest , film bleak ' hardly watchable",0
475,scriptwriters less menace society film ' characters,0
476,"big budget star movie unblinkingly pure hours distinct rarity , event",1
477,"enormously entertaining movie , like nothing ' ever seen , yet completely familiar",1
